"ID","Variable","Catalogues_registries","PurposeOfUse2","Catalogues_registries_coded","Catalogue_registries_TTRAM","PurposeOfUse2_coded","PurposeOfUse2_coded_TTRAM"
91,2,,,,,,
91,3,,,,,,
91,4,,,,,,
91,5,,,,,,
92,1,,,,,,
92,2,,,,,,
92,3,,,,,,
92,4,,,,,,
92,5,,,,,,
93,1,,,,,,
93,2,,,,,,
93,3,,,,,,
93,4,,,,,,
93,5,,,,,,
94,1,,,,,,
94,2,,,,,,
94,3,,,,,,
94,4,,,,,,
94,5,,,,,,
95,1,"CESSDA Data Catalogue","Provides access to a wide range of European social science data. Activity/Function: Reuse, Curation, Quality & Compliance","CESSDA Data Catalogue","Discovery & Identification","Data catalogues","Data catalogues (Discovery & Identification)"
95,2,"Aila Data Service","FSDs data portal that provides access to research data for researchers, teachers, and students. Also used for depositing data. Activity/Function: Deposit & Appraisal, Access, Reuse, Curation, Quality & Compliance","Aila Data Service","All","Data archive","Data archive (All)"
95,3,"ELSST (European Language Social Science Thesaurus)","Thesaurus for social sciences. Used for keywords in English language metadata. Activity/Function: Curation, Quality & Compliance, Access","ELSST (European Language Social Science Thesaurus)","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
95,4,"PID services","We use ORCID, DOI, and URN as part of our PID services. Used to manage persistent identifiers for digital objects. These identifiers ensure long-term access and reliable referencing of digital objects. Activity/Function: Curation, Quality & Compliance, Access, Reuse, Preservation","PID services","Discovery & Identification","PID management","PID management (Discovery & Identification)"
95,5,"CESSDA vocabulary service","Used to standardize and manage controlled vocabularies for digital objects and metadata. Activity/Function: Curation, Quality & Compliance, Access, Reuse, Preservation","CESSDA vocabulary service","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
96,1,,,,,,
96,2,,,,,,
96,3,,,,,,
96,4,,,,,,
96,5,,,,,,
97,1,,,,,,
97,2,,,,,,
97,3,,,,,,
97,4,,,,,,
97,5,,,,,,
98,1,,,,,,
98,2,,,,,,
98,3,,,,,,
98,4,,,,,,
98,5,,,,,,
99,1,,,,,,
99,2,,,,,,
99,3,,,,,,
99,4,,,,,,
99,5,,,,,,
100,1,"DataCite","To generate DOIs","Datacite","Discovery & Identification","Identifier registration","Identifier registration (Discovery & Identification)"
100,2,,,,,,
100,3,,,,,,
100,4,,,,,,
100,5,,,,,,
101,1,,,,,,
101,2,,,,,,
101,3,,,,,,
101,4,,,,,,
101,5,,,,,,
102,1,,,,,,
102,2,,,,,,
102,3,,,,,,
102,4,,,,,,
102,5,,,,,,
103,1,,,,,,
103,2,,,,,,
103,3,,,,,,
103,4,,,,,,
103,5,,,,,,
104,1,,,,,,
104,2,,,,,,
104,3,,,,,,
104,4,,,,,,
104,5,,,,,,
105,1,"ESRF data portal","Generic repository for all data from photon and EM experiments at ESRF","ESRF data portal","Discovery & Identification","Data catalogues","Data catalogues (Discovery & Identification)"
105,2,"Human Organ Atlas","Domain specific data portal for human organs","Human Organ Atlas","Discovery & Identification","Data banks","Data banks (Discovery & Identification)"
105,3,"Paleontology data portal","Domain specific data portal for paleontology data","Paleontology data portal","Discovery & Identification","Data banks","Data banks (Discovery & Identification)"
105,4,"Datacite","For issuing DOIs and storing associated metadata","Datacite","Discovery & Identification","Identifier registration","Identifier registration (Discovery & Identification)"
105,5,,,,,,
106,1,,,,,,
106,2,,,,,,
106,3,,,,,,
106,4,,,,,,
106,5,,,,,,
107,1,,,,,,
107,2,,,,,,
107,3,,,,,,
107,4,,,,,,
107,5,,,,,,
108,1,,,,,,
108,2,,,,,,
108,3,,,,,,
108,4,,,,,,
108,5,,,,,,
109,1,,,,,,
109,2,,,,,,
109,3,,,,,,
109,4,,,,,,
109,5,,,,,,
110,1,,,,,,
110,2,,,,,,
110,3,,,,,,
110,4,,,,,,
110,5,,,,,,
111,1,,,,,,
111,2,,,,,,
111,3,,,,,,
111,4,,,,,,
111,5,,,,,,
112,1,,,,,,
112,2,,,,,,
112,3,,,,,,
112,4,,,,,,
112,5,,,,,,
113,1,,,,,,
113,2,,,,,,
113,3,,,,,,
113,4,,,,,,
113,5,,,,,,
114,1,,,,,,
114,2,,,,,,
114,3,,,,,,
114,4,,,,,,
114,5,,,,,,
115,1,,,,,,
115,2,,,,,,
115,3,,,,,,
115,4,,,,,,
115,5,,,,,,
116,1,"DataCite","DOI","Datacite","Discovery & Identification","Identifier registration","Identifier registration (Discovery & Identification)"
116,2,"Finto-ontology service (https://finto.fi/en/)","Several national ontologies for dataset description, for example fields of science or geolocations.","Finto-ontology service (https://finto.fi/en/)","Discovery & Identification","Semantic : ontologies","Semantic : ontologies (Discovery & Identification)"
116,3,"Koodistot -reference data service (https://koodistot.suomi.fi/)","National reference data for dataset description, for example access types.","Koodistot","Discovery & Identification","Data banks","Data banks (Discovery & Identification)"
116,4,"IANA media types, PRONOM registry","File format metadata for digital preservation","IANA media types, PRONOM registry","Discovery & Identification","Data banks","Data banks (Discovery & Identification)"
116,5,,,,,,
117,1,,,,,,
117,2,,,,,,
117,3,,,,,,
117,4,,,,,,
117,5,,,,,,
118,1,,,,,,
118,2,,,,,,
118,3,,,,,,
118,4,,,,,,
118,5,,,,,,
119,1,"Hierarchical Event Descriptors (HED)","[HED](https://www.hedtags.org/) [vocabulary](https://github.com/hed-standard/hed-schemas) is used to annotate event-level information of neuroscientific experiments in our datasets.","Hierarchical Event Descriptors (HED)","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
119,2,"https://neurobagel.org/","[Neurobagel data model](https://neurobagel.org/data_models/variables/) together with [additional namespaces](https://neurobagel.org/data_models/term_naming_standards/#currently-used-namespaces) harmonizes participant-level information between datasets and repositories.","Neurobagel data model","""Curation, Quality & Compliance"", Discovery & Identification","Data models","Data models (""Curation, Quality & Compliance"", Discovery & Identification)"
119,3,"https://bioportal.bioontology.org/ontologies/SNOMEDCT","Vocabulary used in Neurobagel data model.","Neurobagel data model vocabulary","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
119,4,"https://nidm.nidash.org/","Terminology used in Neurobagel data model.","Neurobagel data model terminology","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
119,5,,,,,,
120,1,,,,,,
120,2,,,,,,
120,3,,,,,,
120,4,,,,,,
120,5,,,,,,
121,1,,,,,,
121,2,,,,,,
121,3,,,,,,
121,4,,,,,,
121,5,,,,,,
122,1,,,,,,
122,2,,,,,,
122,3,,,,,,
122,4,,,,,,
122,5,,,,,,
123,1,,,,,,
123,2,,,,,,
123,3,,,,,,
123,4,,,,,,
123,5,,,,,,
124,1,,,,,,
124,2,,,,,,
124,3,,,,,,
124,4,,,,,,
124,5,,,,,,
125,1,,,,,,
125,2,,,,,,
125,3,,,,,,
125,4,,,,,,
125,5,,,,,,
126,1,,,,,,
126,2,,,,,,
126,3,,,,,,
126,4,,,,,,
126,5,,,,,,
127,1,,,,,,
127,2,,,,,,
127,3,,,,,,
127,4,,,,,,
127,5,,,,,,
128,1,,,,,,
128,2,,,,,,
128,3,,,,,,
128,4,,,,,,
128,5,,,,,,
129,1,,,,,,
129,2,,,,,,
129,3,,,,,,
129,4,,,,,,
129,5,,,,,,
130,1,,,,,,
130,2,,,,,,
130,3,,,,,,
130,4,,,,,,
130,5,,,,,,
131,1,,,,,,
131,2,,,,,,
131,3,,,,,,
131,4,,,,,,
131,5,,,,,,
132,1,,,,,,
132,2,,,,,,
132,3,,,,,,
132,4,,,,,,
132,5,,,,,,
133,1,,,,,,
133,2,,,,,,
133,3,,,,,,
133,4,,,,,,
133,5,,,,,,
134,1,,,,,,
134,2,,,,,,
134,3,,,,,,
134,4,,,,,,
134,5,,,,,,
135,1,,,,,,
135,2,,,,,,
135,3,,,,,,
135,4,,,,,,
135,5,,,,,,
136,1,,,,,,
136,2,,,,,,
136,3,,,,,,
136,4,,,,,,
136,5,,,,,,
137,1,,,,,,
137,2,,,,,,
137,3,,,,,,
137,4,,,,,,
137,5,,,,,,
138,1,,,,,,
138,2,,,,,,
138,3,,,,,,
138,4,,,,,,
138,5,,,,,,
139,1,,,,,,
139,2,,,,,,
139,3,,,,,,
139,4,,,,,,
139,5,,,,,,
140,1,,,,,,
140,2,,,,,,
140,3,,,,,,
140,4,,,,,,
140,5,,,,,,
141,1,,,,,,
141,2,,,,,,
141,3,,,,,,
141,4,,,,,,
141,5,,,,,,
142,1,,,,,,
142,2,,,,,,
142,3,,,,,,
142,4,,,,,,
142,5,,,,,,
143,1,,,,,,
143,2,,,,,,
143,3,,,,,,
143,4,,,,,,
143,5,,,,,,
144,1,,,,,,
144,2,,,,,,
144,3,,,,,,
144,4,,,,,,
144,5,,,,,,
145,1,,,,,,
145,2,,,,,,
145,3,,,,,,
145,4,,,,,,
145,5,,,,,,
146,1,,,,,,
146,2,,,,,,
146,3,,,,,,
146,4,,,,,,
146,5,,,,,,
147,1,,,,,,
147,2,,,,,,
147,3,,,,,,
147,4,,,,,,
147,5,,,,,,
148,1,,,,,,
148,2,,,,,,
148,3,,,,,,
148,4,,,,,,
148,5,,,,,,
149,1,,,,,,
149,2,,,,,,
149,3,,,,,,
149,4,,,,,,
149,5,,,,,,
150,1,"Maybe I don't understand this question, what do you mean with catalogue or registry? (also Google is one..) We maintain our own registry to hold metadata but of course offer our metadata via interfaces so our metadata is also listed in other registries","all","--NULL--",,,
150,2,"Maybe you mean something like the DataCite registry?",,"--NULL--",,,
150,3,,,,,,
150,4,,,,,,
150,5,,,,,,
151,1,,,,,,
151,2,,,,,,
151,3,,,,,,
151,4,,,,,,
151,5,,,,,,
152,1,,,,,,
152,2,,,,,,
152,3,,,,,,
152,4,,,,,,
152,5,,,,,,
153,1,,,,,,
153,2,,,,,,
153,3,,,,,,
153,4,,,,,,
153,5,,,,,,
154,1,,,,,,
154,2,,,,,,
154,3,,,,,,
154,4,,,,,,
154,5,,,,,,
155,1,,,,,,
155,2,,,,,,
155,3,,,,,,
155,4,,,,,,
155,5,,,,,,
156,1,,,,,,
156,2,,,,,,
156,3,,,,,,
156,4,,,,,,
156,5,,,,,,
157,1,,,,,,
157,2,,,,,,
157,3,,,,,,
157,4,,,,,,
157,5,,,,,,
158,1,"DDI CVs","Deposit & Appraisal, Curation, Preservation, Reuse","DDI CVs","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
158,2,"CESSDA CVs","Deposit & Appraisal, Curation, Reuse","CESSDA vocabulary service","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
158,3,,,,,,
158,4,,,,,,
158,5,,,,,,
159,1,,,,,,
159,2,,,,,,
159,3,,,,,,
159,4,,,,,,
159,5,,,,,,
